# Gene Family	DM001.concat_Abundance-RPKs	DM002.concat_Abundance-RPKs	DM004.concat_Abundance-RPKs	DM007.concat_Abundance-RPKs	DM008.concat_Abundance-RPKs	DM019.concat_Abundance-RPKs	DM025.concat_Abundance-RPKs	DM046.concat_Abundance-RPKs	DM051.concat_Abundance-RPKs	DM055.concat_Abundance-RPKs	DM057.concat_Abundance-RPKs	DM063.concat_Abundance-RPKs	DM065.concat_Abundance-RPKs	DM074.concat_Abundance-RPKs	DM087.concat_Abundance-RPKs	DM093.concat_Abundance-RPKs	LG001.concat_Abundance-RPKs	LG006.concat_Abundance-RPKs	LG023.concat_Abundance-RPKs	LG025.concat_Abundance-RPKs	LG026.concat_Abundance-RPKs	LG030.concat_Abundance-RPKs	LG034.concat_Abundance-RPKs	LG038.concat_Abundance-RPKs	LG043.concat_Abundance-RPKs	LG045.concat_Abundance-RPKs	LG046.concat_Abundance-RPKs	LG049.concat_Abundance-RPKs	LG050.concat_Abundance-RPKs	LG052.concat_Abundance-RPKs
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]|g__Bacteroides.s__Bacteroides_dorei	48.6219168374	10.2041762414	22.0303841745	0.0	10.2452930848	28.0914276475	6.1077653405	0.0	33.3316555754	7.160795255	0.0	16.4487622284	20.4278826451	31.2801266561	86.3269879527	176.6380244149	39.6581028733	0.0	5.1194160454	0.0	363.7737975394	67.4397854192	26.5651142256	234.5824248826	10.2582247923	49.1393259942	5.0944578658	0.0	29.6721937732	7.6711646738
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]|g__Bacteroides.s__Bacteroides_vulgatus	49.1436245923	14.853442141	12.2294022564	0.0	5.6344165648	22.9366076116	5.1101780721	0.0	33.3356731699	9.7139900162	0.0	9.7561577479	22.982326296	31.7912618649	79.3150910562	119.1860960204	38.6114083019	0.0	3.5805308926	0.0	296.9712793608	58.1844594679	22.5573695874	204.5206717168	9.1789964982	63.8951836316	4.1089189167	0.0	25.0654987954	9.6935066617
1.2.7.7-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	158.508271518	54.262176994	90.2848960621	7.4450669502	505.4418076656	86.7787745457	20.1088304224	8.4455601713	252.388360323	46.6102792593	0.0	67.2862659014	96.1242762919	105.5258740872	294.0897872517	625.0605605198	269.9006358458	0.0	14.9235941959	0.0	1127.7893388973	244.8125846497	318.1753786884	843.3971958459	3837.0289640209	216.8975276437	1858.156124536	0.0	496.3576367677	37.0391331768
1.2.7.7-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|g__Bacteroides.s__Bacteroides_dorei	95.7196362511	0.0	2.1436227224	0.0	15.8198118181	4.0552269201	5.3245898431	0.0	13.5804692252	3.0879403935	0.0	4.1964766001	2.0217792882	1.0718113612	105.6283742263	581.09171891	8.0903794251	0.0	1.0298661174	0.0	482.1160087218	44.1932790349	18.9721672547	798.2807337643	141.2182079115	23.1831796071	77.953995926	0.0	29.4464046414	2.0995605904
1.2.7.7-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|g__Bacteroides.s__Bacteroides_vulgatus	62.7886352669	54.262176994	88.1412733397	7.4450669502	489.6219958476	82.7235476255	14.7842405792	8.4455601713	238.8078910978	43.5223388658	0.0	63.0897893014	94.1024970037	104.454062726	188.4614130254	43.9688416097	261.8102564207	0.0	13.8937280785	0.0	645.6733301755	200.6193056147	299.2032114337	45.1164620816	3695.8107561093	193.7143480366	1780.20212861	0.0	466.9112321263	34.9395725864
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	308.4837049414	96.8777584048	173.2154985028	27.7298454489	965.3290083114	192.87347551940002	33.2195033668	26.3466736107	466.7397245575	120.02738662959999	6.9444444444	98.25673672689999	223.0640761344	195.2020230998	644.1560851447	1127.9670238171	543.8414588432	0.0	21.765447831	0.0	2311.1140726807	474.5907812188	608.3406083234	1554.6837727278998	7870.0231556882	413.6141673682	3699.289512967	0.0	995.804435295	81.9831231066
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|g__Bacteroides.s__Bacteroides_dorei	191.91031570820002	18.2497913867	36.337523569	3.6781413315	197.81259210809998	16.0744931018	28.4601797738	0.0	73.346439768	9.2372139322	2.3148148148	13.4308762937	16.8597482476	12.0742149086	185.1328047095	1044.7568900981	19.417881682999997	0.0	5.9929561463	0.0	761.4991777719	109.7860374781	134.8485865386	1449.5789935084	417.1129494499	72.7053231575	994.8630817149999	0.0	152.584927588	18.2251467673
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|g__Bacteroides.s__Bacteroides_vulgatus	116.5733892332	78.62796701810001	136.8779749337	24.0517041174	767.5164162034	176.79898241770002	4.7593235929	26.3466736107	393.3932847894	110.79017269740001	4.6296296296	84.8258604332	206.2043278868	183.1278081911	459.0232804352	83.210133719	524.4235771602	0.0	15.7724916846	0.0	1549.6148949089	364.8047437407	473.4920217849	105.1047792196	7452.9102062384	340.9088442106	2704.426431252	0.0	843.219507707	63.7579763392
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	286.1630180261	116.0622255145	182.8778982456	23.468981951099998	905.9629406043	152.2151035751	35.5217739198	4.8474515875	431.49480594700003	120.2375618122	0.0	80.7625991175	168.2078274825	191.562933802	576.2239792944	993.9041687758	460.0770679868	0.0	28.4418580916	0.0	2135.0132981917	479.2819528814	597.2690924323999	1577.3402887179	7113.6136719579	365.68537470390004	3545.482858766	0.0	874.4378426139	65.3575264153
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Bacteroides.s__Bacteroides_dorei	156.63505242230002	14.7614532661	9.7805602471	4.9449355166	78.5247293403	3.7313432836	19.6032171212	1.2437810945	20.4336503758	3.6106449999	0.0	8.7064676617	15.7439098641	23.5729376687	236.6719406752	925.6213879775	49.073628728500005	0.0	6.1447150214	0.0	488.352347312	141.4243754663	66.3345212717	1479.9043940971	550.6297700607	44.035846521699995	279.8590850614	0.0	55.9419626534	6.1166768895
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Bacteroides.s__Bacteroides_vulgatus	129.5279656038	101.3007722483	173.0973379985	18.5240464345	827.4382112641	148.4837602915	15.918556798600001	3.603670493	411.0611555712	116.62691681230001	0.0	72.0561314559	152.4639176184	167.9899961333	339.5520386192	68.2827807983	411.0034392583	0.0	22.2971430702	0.0	1646.6609508797	337.857577415	530.9345711606001	97.43589462080001	6562.9839018972	321.6495281822	3265.6237737047	0.0	818.4958799605	59.2408495257
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]	152.4285606464	55.7691274858	141.242454257	14.0001780627	571.6070489415	94.8422142773	14.0138124431	14.0698081875	314.2439428771	69.4917390164	0.0	64.46755762	103.9414775792	112.9318590624	319.1797365244	570.9874905877	274.0878599093	0.0	8.3295846454	0.0	1172.9662280074	282.2900598359	319.9179160632	873.6755133549	3979.097571988	196.2976013196	1983.1608110632	0.0	508.2990871084	60.9748900618
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]|g__Bacteroides.s__Bacteroides_dorei	84.2302072824	2.2421524664	0.0	0.0	0.0	0.0	2.849002849	0.0	2.2471910112	0.0	0.0	2.849002849	0.0	0.0	106.0320167725	529.8468087665	0.0	0.0	0.0	0.0	470.0444814437	52.1014623493	5.698005698	818.1161596874	4.4674910251	13.8946403611	0.0	0.0	0.0	0.0
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]|g__Bacteroides.s__Bacteroides_vulgatus	68.198353364	53.5269750195	141.242454257	14.0001780627	571.6070489415	94.8422142773	11.1648095941	14.0698081875	311.9967518658	69.4917390164	0.0	61.618554771	103.9414775792	112.9318590624	213.1477197519	41.1406818212	274.0878599093	0.0	8.3295846454	0.0	702.9217465637	230.1885974866	314.2199103652	55.5593536675	3974.6300809629	182.4029609584	1983.1608110632	0.0	508.2990871084	60.9748900618
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	285.3970208897	70.2075999146	98.3326757038	18.4148760231	512.8558234721	88.0773015596	31.5880697527	10.639382357	215.0611792279	81.8468039891	0.0	58.5223106074	97.9980384716	126.9020471598	478.8055474358	1194.3462600028	299.8908885902	0.0	17.5903735676	0.0	1789.8609526249	355.4530965683	354.9018700836	1645.3328638748	4457.2444186105	260.9716712374	2146.0118755253	0.0	576.7385771125	51.827117737
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Bacteroides.s__Bacteroides_dorei	222.6953757574	35.0514377282	17.4960738504	9.2359361881	133.7173216761	15.7369516933	27.3899169399	0.8396305626	65.6907149919	29.1711639534	0.0	19.2920340021	35.8286127805	30.1824668869	283.3479809766	1165.4592341241	35.9086443389	0.0	5.8774139379	0.0	1281.5432543785	203.56147416890002	118.3390100416	1595.5729836142	1189.6761195433	119.541109767	572.0821963308	0.0	142.8509323003	20.0503083258
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Bacteroides.s__Bacteroides_vulgatus	62.7016451322	35.1561621864	80.8366018534	9.178939835	379.138501796	72.3403498662	4.1981528128	9.7997517944	149.3704642359	52.6756400357	0.0	39.2302766053	62.1694256911	96.7195802729	195.4575664591	28.8870258787	263.9822442513	0.0	11.7129596297	0.0	508.3176982464	151.8916223994	236.5628600421	49.7598802606	3267.5682990672	141.4305614704	1573.9296791945	0.0	433.8876448122	31.7768094112
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	242.7983568997	78.2324698039	148.3700682151	20.5307669875	733.3789940759	117.0306046288	35.9539870767	0.0	389.75808596110005	115.7318010481	0.0	53.629719327800004	133.2443361203	137.7438640405	498.4906519422	727.0910201672	404.4042186821	0.0	19.0938138319	0.0	1693.538722322	398.3189598005	511.54744830100003	1102.2139799856	5863.8650805279	307.0080571345	2944.3268946912003	0.0	744.4176018984	103.0950294957
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]|g__Bacteroides.s__Bacteroides_dorei	102.3065243538	2.624671916	6.4085945381	2.624671916	47.9740253932	2.4125452352	12.9095106573	0.0	34.7687589879	8.8712462107	0.0	6.333196826	23.4309276635	18.3727034121	153.2992632788	543.8089445925	22.0677293197	0.0	2.5220680958	0.0	639.9909861678	121.1470806686	44.9086689437	816.5943222129	221.3919932092	19.2287564495	466.5395158863	0.0	80.4292898919	10.4505742092
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]|g__Bacteroides.s__Bacteroides_vulgatus	140.4918325459	75.6077978879	141.961473677	17.9060950714	685.4049686827	114.6180593935	23.0444764194	0.0	354.98932697320004	106.8605548373	0.0	47.2965225018	109.8134084568	119.37116062839999	345.1913886635	183.2820755747	382.33648936239996	0.0	16.5717457361	0.0	1053.5477361542	277.1718791319	466.6387793573	285.6196577728	5642.4730873187	287.7793006849	2477.7873788049	0.0	663.9883120064001	92.6444552865
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]	321.1053715708	108.4058064721	196.4763950846	29.1264559519	968.3155364226	178.5778141642	28.8560944304	7.7625887366	572.2604055564	103.59951791360001	0.0	83.51891776939999	211.9078675271	213.9288679748	649.9830722924	1191.5855744639998	575.2553173711001	0.0	19.6416487014	0.0	2323.7205135896	538.6989510589	676.0794602234	1702.5799360767	7994.776047053299	433.32382055460005	3984.8371802396	0.0	1039.244132279	99.1816914447
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]|g__Bacteroides.s__Bacteroides_dorei	172.6647967435	13.3053679685	11.6078363322	11.6909044146	69.1752773122	13.0006806009	16.580628862	0.0	83.450102721	6.5958342696	0.0	16.1562254264	28.4606496682	16.168868118	216.8524238802	1079.3935262892	33.4234966281	0.0	0.7215007215	0.0	1136.5102809484001	163.0916941325	102.6103583382	1546.2751284574001	718.2765714055	75.7278180537	334.10492509159997	0.0	155.1843081915	16.1369921524
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]|g__Bacteroides.s__Bacteroides_vulgatus	148.4405748272	95.1004385036	184.8685587524	17.4355515372	899.1402591103	165.5771335633	12.2754655684	7.7625887366	488.81030283530004	97.0036836441	0.0	67.36269234299999	183.4472178589	197.7599998568	433.13064841209996	112.1920481748	541.8318207428999	0.0	18.9201479799	0.0	1187.2102326412	375.6072569263	573.4691018851	156.3048076193	7276.4994756478	357.5960025009	3650.732255148	0.0	884.0598240874999	83.0446992924
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]	146.2965018797	35.7128265601	55.7480879627	12.3182320367	375.005018228	69.0341114842	13.6383791237	0.0	166.7121740425	34.5803060678	0.0	24.8505062961	72.520001704	78.2015260169	218.259011935	531.337669723	170.9070250309	0.0	6.2103028149	0.0	877.6179225765	166.3894016776	209.6156378502	677.0140996846	2249.8351101653	145.4672066805	1140.2871573662	0.0	326.8587285037	28.4159924525
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]|g__Bacteroides.s__Bacteroides_dorei	91.9150135077	0.0	0.0	1.2484394507	0.0	0.0	8.6954559812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.6345417049	500.74438461	1.1337868481	0.0	0.0	0.0	448.8680464072	36.9989456457	6.0502466912	651.1442984879	4.4163416005	20.6717211226	12.4843945069	0.0	0.0	0.0
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]|g__Bacteroides.s__Bacteroides_vulgatus	54.3814883719	35.7128265601	55.7480879627	11.069792586	375.005018228	69.0341114842	4.9429231425	0.0	166.7121740425	34.5803060678	0.0	24.8505062961	72.520001704	78.2015260169	141.6244702301	30.593285113	169.7732381828	0.0	6.2103028149	0.0	428.7498761693	129.3904560319	203.565391159	25.8698011967	2245.4187685648	124.7954855579	1127.8027628593	0.0	326.8587285037	28.4159924525
2-OXOBUTYRATE-SYNTHASE-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	158.508271518	54.262176994	90.2848960621	7.4450669502	505.4418076656	86.7787745457	20.1088304224	8.4455601713	252.388360323	46.6102792593	0.0	67.2862659014	96.1242762919	105.5258740872	294.0897872517	625.0605605198	269.9006358458	0.0	14.9235941959	0.0	1127.7893388973	244.8125846497	318.1753786884	843.3971958459	3837.0289640209	216.8975276437	1858.156124536	0.0	496.3576367677	37.0391331768
2-OXOBUTYRATE-SYNTHASE-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|g__Bacteroides.s__Bacteroides_dorei	95.7196362511	0.0	2.1436227224	0.0	15.8198118181	4.0552269201	5.3245898431	0.0	13.5804692252	3.0879403935	0.0	4.1964766001	2.0217792882	1.0718113612	105.6283742263	581.09171891	8.0903794251	0.0	1.0298661174	0.0	482.1160087218	44.1932790349	18.9721672547	798.2807337643	141.2182079115	23.1831796071	77.953995926	0.0	29.4464046414	2.0995605904
2-OXOBUTYRATE-SYNTHASE-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|g__Bacteroides.s__Bacteroides_vulgatus	62.7886352669	54.262176994	88.1412733397	7.4450669502	489.6219958476	82.7235476255	14.7842405792	8.4455601713	238.8078910978	43.5223388658	0.0	63.0897893014	94.1024970037	104.454062726	188.4614130254	43.9688416097	261.8102564207	0.0	13.8937280785	0.0	645.6733301755	200.6193056147	299.2032114337	45.1164620816	3695.8107561093	193.7143480366	1780.20212861	0.0	466.9112321263	34.9395725864
2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]	159.2192755064	46.2214689907	81.4883444633	11.6279069767	452.5285669222	91.3432708842	10.6090710332	12.3619029733	223.2718579573	62.4504083928	0.0	44.3935151852	85.7499752135	109.7640975051	274.3807472691	547.0444252849	217.1092769086	0.0	0.0	0.0	1104.841583722	225.2803285503	310.4440970366	783.6150939193	3445.4426826964	199.209660623	1731.3009439259	0.0	493.1737802595	35.4616964465
2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]|g__Bacteroides.s__Bacteroides_dorei	77.5549848928	3.8759689922	19.0822853578	7.7519379845	91.2803784719	32.6031583012	1.8983602778	4.7241454129	30.5723753837	16.2717986047	0.0	17.373049541	29.4575345111	24.9629531628	136.2723116074	434.3012406222	80.4886403093	0.0	0.0	0.0	610.0668223724	85.8623364836	80.6557422498	608.4429080869	1113.3303222847	43.9393575229	514.7491403655	0.0	146.4865737405	2.8015194682
2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]|g__Bacteroides.s__Bacteroides_vulgatus	81.6642906136	42.3454999984	62.4060591055	3.8759689922	361.2481884503	58.740112583	8.7107107553	7.6377575603	192.6994825736	46.1786097881	0.0	27.0204656443	56.2924407024	84.8011443423	138.1084356617	112.7431846627	136.6206365993	0.0	0.0	0.0	494.7747613496	139.4179920667	229.7883547869	175.1721858324	2332.1123604116	155.2703031002	1216.5518035604	0.0	346.687206519	32.6601769783
2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]	127.5770297938	28.1791327261	64.0636422465	0.0	324.310626168	38.7487759981	13.1670936947	0.0	169.130274018	55.064569093	0.0	30.6111932727	54.9820846983	74.9007621547	173.7364336448	486.4360708862	149.1394766658	0.0	0.0	0.0	797.8698856895	142.1480420559	184.2314456853	614.9608384006	2513.8566546695	144.1422909535	1115.9311934119	0.0	279.8965548244	23.4072566754
